,MAKE,MODEL,MODEL_DESCRIPTION,VARIANT,YEAR,CC,HORSEPOWER,PRICE,TRANSMISSION,CURRENCY,TAX_RATE,PRICE_INCLUDE_TAX
2120,TOYOTA,RUSH,Rush,S A/T Facelift,2012,1.5,110,130000000.0,Automatic Transmission,Rp,,130000000.0
2121,TOYOTA,HILUX,Toyota Hilux Singel Cabin,Hilux Singel Kabin Diesel,2012,2.5,-,130000000.0,0,Rp,,130000000.0
2122,TOYOTA,VIOS,Vios - New,TRD A/T,2012,1.5,106,130000000.0,Automatic Transmission,Rp,,130000000.0
2123,CHEVROLET,ORLANDO,Orlando,LT,2013,1.8,141,130000000.0,0,Rp,,130000000.0
2124,FORD,ESCAPE,Escape,All new Escape 2.3 A/T,2013,2.3,157,130000000.0,Automatic Transmission,Rp,,130000000.0
2125,KIA,CARRENS III,Carrens III,A/T,2013,2.0,140,130000000.0,Automatic Transmission,Rp,,130000000.0
2126,NISSAN,GRAND LIVINA,Grand Livina,All New 1.5 XV A/T,2013,1.5,109,130000000.0,Automatic Transmission,Rp,,130000000.0
2127,NISSAN,GRAND LIVINA,Grand Livina,All New 1.5 XV M/T,2013,1.5,109,130000000.0,Manual Transmission,Rp,,130000000.0
2128,PEUGEOT,107,107,A/T,2013,1.4,68,130000000.0,Automatic Transmission,Rp,,130000000.0
2129,TOYOTA,VIOS,All New Vios,E A/T,2013,1.5,107,130000000.0,Automatic Transmission,Rp,,130000000.0
2130,TOYOTA,AVANZA,Avanza,All New Veloz 1.5 A/T,2013,1.5,103,130000000.0,Automatic Transmission,Rp,,130000000.0
2131,TOYOTA,AVANZA,Avanza,All New Veloz 1.5 M/T,2013,1.5,103,130000000.0,Manual Transmission,Rp,,130000000.0
2132,TOYOTA,KIJANG INNOVA,Kijang Innova - Bensin,J Grand New,2013,2.0,136,130000000.0,0,Rp,,130000000.0
2133,TOYOTA,RUSH,Rush,G A/T Facelift,2013,1.5,110,130000000.0,Automatic Transmission,Rp,,130000000.0
2134,TOYOTA,YARIS,Yaris,E A/T Facelift,2013,1.5,107,130000000.0,Automatic Transmission,Rp,,130000000.0
2135,FORD,FIESTA,Fiesta,All New S A/T,2014,1.5,112,130000000.0,Automatic Transmission,Rp,,130000000.0
2136,FORD,FIESTA,Fiesta,All New S M/T,2014,1.5,112,130000000.0,Manual Transmission,Rp,,130000000.0
2137,HONDA,MOBILIO,Mobilio,S CVT,2014,1.5,118,130000000.0,CVT,Rp,,130000000.0
2138,MAZDA,MAZDA2,Mazda2,All New SkyActive V M/T,2014,1.5,108,130000000.0,Manual Transmission,Rp,,130000000.0
2139,MAZDA,MAZDA2,Mazda2,Hatchback R A/T,2014,1.5,115,130000000.0,Automatic Transmission,Rp,,130000000.0
2140,MAZDA,VX-1,VX-1,R Metro M/T,2014,1.4,94,130000000.0,Manual Transmission,Rp,,130000000.0
2141,NISSAN,EVALIA,Evalia,XV A/T,2014,1.5,107,130000000.0,Automatic Transmission,Rp,,130000000.0
2142,NISSAN,GRAND LIVINA,Grand Livina,All New 1.5 SV A/T,2014,1.5,109,130000000.0,Automatic Transmission,Rp,,130000000.0
2143,NISSAN,GRAND LIVINA,Grand Livina,All New 1.5 SV M/T,2014,1.5,109,130000000.0,Manual Transmission,Rp,,130000000.0
2144,NISSAN,GRAND LIVINA,Grand Livina,All New SV M/T,2014,1.5,109,130000000.0,Manual Transmission,Rp,,130000000.0
2145,SUZUKI,APV,Suzuki APV Arena,Suzuki Arena GX M/T,2014,1.5,107,130000000.0,Manual Transmission,Rp,,130000000.0
2146,TOYOTA,VIOS,All New Vios,E M/T,2014,1.5,107,130000000.0,Manual Transmission,Rp,,130000000.0
2147,TOYOTA,HILUX,Toyota Hilux Singel Cabin,Hilux Singel Kabin Bensin,2014,2.0,-,130000000.0,0,Rp,,130000000.0
2148,TOYOTA,YARIS,Yaris - All New,E M/T,2014,1.5,107,130000000.0,Manual Transmission,Rp,,130000000.0
2149,DAIHATSU,LUXIO,Luxio,X Ultimate M/T,2015,1.5,97,130000000.0,Manual Transmission,Rp,,130000000.0
2150,DAIHATSU,XENIA,Xenia,All New 1.3 R Attivo A/T Facelift,2015,1.3,91,130000000.0,Automatic Transmission,Rp,,130000000.0
2151,DAIHATSU,XENIA,Xenia,All New 1.3 R Attivo M/T Facelift,2015,1.3,91,130000000.0,Manual Transmission,Rp,,130000000.0
2152,FORD,ECOSPORT,Ecosport,Titanium M/T,2015,1.5,111,130000000.0,Manual Transmission,Rp,,130000000.0
2153,FORD,FIESTA,Fiesta,All New Trend A/T,2015,1.5,112,130000000.0,Automatic Transmission,Rp,,130000000.0
2154,HONDA,MOBILIO,Mobilio,E M/T,2015,1.5,118,130000000.0,Manual Transmission,Rp,,130000000.0
2155,HYUNDAI,I10,i10,GL-s A/T,2015,1.1,82,130000000.0,Automatic Transmission,Rp,,130000000.0
2156,SUZUKI,APV,Suzuki APV Arena,Suzuki Arena GX A/T,2015,1.5,107,130000000.0,Automatic Transmission,Rp,,130000000.0
2157,SUZUKI,APV,Suzuki APV Arena,Suzuki Arena GX M/T,2015,1.5,107,130000000.0,Manual Transmission,Rp,,130000000.0
2158,SUZUKI,ERTIGA,Suzuki Ertiga,Ertiga GL Facelift M/T,2015,1.4,-,130000000.0,Manual Transmission,Rp,,130000000.0
2159,TOYOTA,AVANZA,Avanza,All New G A/T Facelift,2015,1.3,96,130000000.0,Automatic Transmission,Rp,,130000000.0
2160,DAIHATSU,XENIA,Xenia,All New 1.3 X M/T Facelift,2016,1.3,92,130000000.0,Manual Transmission,Rp,,130000000.0
2161,FORD,ECOSPORT,Ecosport,Titanium A/T,2016,1.5,110,130000000.0,Automatic Transmission,Rp,,130000000.0
2162,HONDA,BRIO,Brio,1.2 RS A/T,2016,1.2,89,130000000.0,Automatic Transmission,Rp,,130000000.0
2163,HONDA,MOBILIO,Mobilio,S M/T Facelift,2016,1.5,118,130000000.0,Manual Transmission,Rp,,130000000.0
2164,KIA,RIO,Rio,1.4 M/T,2016,1.4,100,130000000.0,Manual Transmission,Rp,,130000000.0
2165,NISSAN,EVALIA,Evalia,XV A/T,2016,1.5,107,130000000.0,Automatic Transmission,Rp,,130000000.0
2166,NISSAN,EVALIA,Evalia,XV M/T,2016,1.5,107,130000000.0,Manual Transmission,Rp,,130000000.0
2167,NISSAN,MARCH,March,1.5 A/T,2016,1.5,101,130000000.0,Automatic Transmission,Rp,,130000000.0
2168,SUZUKI,APV,Suzuki APV Arena,Suzuki Luxury A/T,2016,1.5,107,130000000.0,Automatic Transmission,Rp,,130000000.0
2169,DAIHATSU,LUXIO,Luxio,M,2017,1.5,97,130000000.0,0,Rp,,130000000.0
2170,DAIHATSU,LUXIO,Luxio,M Elite,2017,1.5,97,130000000.0,0,Rp,,130000000.0
2171,DAIHATSU,SIRION,Sirion,All New M A/T Facelift,2017,1.3,90,130000000.0,Automatic Transmission,Rp,,130000000.0
2172,DAIHATSU,SIRION,Sirion,All New M M/T Facelift,2017,1.3,90,130000000.0,Manual Transmission,Rp,,130000000.0
2173,KIA,PICANTO,Picanto,Morning M/T,2017,1.1,66,130000000.0,Manual Transmission,Rp,,130000000.0
2174,CHEVROLET,SPARK,Spark,All New LTZ A/T Facelift,2018,1.4,98,130000000.0,Automatic Transmission,Rp,,130000000.0
2175,DAIHATSU,XENIA,Xenia,All New 1.0 D Deluxe,2018,1.0,62,130000000.0,0,Rp,,130000000.0
2176,WULING,CONFERO,Confero,S 1.5 C M/T,2018,1.5,107,130000000.0,Manual Transmission,Rp,,130000000.0
2177,HONDA,BRIO,Brio,All New Brio Satya E M/T,2019,1.2,89,130000000.0,Manual Transmission,Rp,,130000000.0
2178,ISUZU,PANTHER,Panther - New,Grand Touring A/T,2007,2.5,80,135000000.0,Automatic Transmission,Rp,,135000000.0
2179,ISUZU,PANTHER,Panther - New,Hi-Grade LS Turbo,2007,2.5,86,135000000.0,0,Rp,,135000000.0
2180,HONDA,CR-V,CR-V,All NewCRV 2.4 A/T,2008,2.4,189,135000000.0,Automatic Transmission,Rp,,135000000.0
2181,TOYOTA,KIJANG INNOVA,Kijang Innova - Bensin,G M/T Facelift,2009,2.0,136,135000000.0,Manual Transmission,Rp,,135000000.0
2182,HONDA,ACCORD,Accord,New 2.4 VTi-L M/T,2010,2.4,176,135000000.0,Manual Transmission,Rp,,135000000.0
2183,HONDA,JAZZ,Jazz - New,RS A/T,2010,1.5,119,135000000.0,Automatic Transmission,Rp,,135000000.0
2184,MITSUBISHI,STRADA,Strada,Strada Triton,2010,2.5,135,135000000.0,0,Rp,,135000000.0
2185,CHEVROLET,CAPTIVA,Captiva,Diesel A/T Facelift,2011,2.0,163,135000000.0,Automatic Transmission,Rp,,135000000.0
2186,CHEVROLET,CAPTIVA,Captiva,Diesel M/T Facelift,2011,2.0,186,135000000.0,Manual Transmission,Rp,,135000000.0
2187,HONDA,JAZZ,Jazz - New,S A/T Facelift,2012,1.5,119,135000000.0,Automatic Transmission,Rp,,135000000.0
2188,HONDA,JAZZ,Jazz - New,S M/T Facelift,2012,1.5,119,135000000.0,Manual Transmission,Rp,,135000000.0
2189,NISSAN,JUKE,Juke,RX,2012,1.5,109,135000000.0,0,Rp,,135000000.0
2190,TOYOTA,RUSH,Rush,S M/T Facelift,2012,1.5,110,135000000.0,Manual Transmission,Rp,,135000000.0
2191,ISUZU,PANTHER,Panther - New,LM Smart Turbo,2013,2.5,80,135000000.0,0,Rp,,135000000.0
2192,HONDA,MOBILIO,Mobilio,E CVT,2014,1.5,118,135000000.0,CVT,Rp,,135000000.0
2193,DAIHATSU,TERIOS,Terios,X Extra M/T,2015,1.5,109,135000000.0,Manual Transmission,Rp,,135000000.0
2194,NISSAN,GRAND LIVINA,Grand Livina,All New 1.5 X-Gear A/T,2015,1.5,107,135000000.0,Automatic Transmission,Rp,,135000000.0
2195,NISSAN,GRAND LIVINA,Grand Livina,All New 1.5 X-Gear M/T,2015,1.5,107,135000000.0,Manual Transmission,Rp,,135000000.0
2196,DAIHATSU,LUXIO,Luxio,X A/T,2016,1.5,96,135000000.0,Automatic Transmission,Rp,,135000000.0
2197,DAIHATSU,LUXIO,Luxio,X M/T,2016,1.5,96,135000000.0,Manual Transmission,Rp,,135000000.0
2198,DAIHATSU,XENIA,Xenia,All New 1.3 R A/T Facelift,2016,1.3,95,135000000.0,Automatic Transmission,Rp,,135000000.0
2199,DAIHATSU,XENIA,Xenia,All New 1.3 R M/T Facelift,2016,1.3,95,135000000.0,Manual Transmission,Rp,,135000000.0
2200,KIA,RIO,Rio,1.4 A/T,2016,1.4,100,135000000.0,Automatic Transmission,Rp,,135000000.0
2201,TOYOTA,AVANZA,Avanza,All New G M/T Facelift,2016,1.3,96,135000000.0,Manual Transmission,Rp,,135000000.0
2202,DAIHATSU,XENIA,Xenia,All New 1.3 X A/T Facelift,2017,1.3,92,135000000.0,Automatic Transmission,Rp,,135000000.0
2203,HONDA,BRIO,Brio,1.2 RS A/T,2017,1.2,89,135000000.0,Automatic Transmission,Rp,,135000000.0
2204,KIA,RIO,Rio,1.4 M/T,2017,1.4,100,135000000.0,Manual Transmission,Rp,,135000000.0
2205,SUZUKI,APV,Suzuki APV Arena,Suzuki Luxury A/T,2017,1.5,107,135000000.0,Automatic Transmission,Rp,,135000000.0
2206,TOYOTA,AVANZA,Avanza,All New E A/T Facelift,2017,1.3,96,135000000.0,Automatic Transmission,Rp,,135000000.0
2207,TOYOTA,AVANZA,Avanza,All New E M/T Facelift,2017,1.3,96,135000000.0,Manual Transmission,Rp,,135000000.0
2208,DAIHATSU,XENIA,Xenia,All New 1.0 M Family,2018,1.0,62,135000000.0,0,Rp,,135000000.0
2209,HONDA,BRIO,Brio,1.2 E A/T Facelift,2018,1.2,89,135000000.0,Automatic Transmission,Rp,,135000000.0
2210,HONDA,BRIO,Brio,1.2 S A/T Facelift,2018,1.2,89,135000000.0,Automatic Transmission,Rp,,135000000.0
2211,ISUZU,PANTHER,Panther Pick Up,Panther Pick Up Standar,2018,2.5,-,135000000.0,0,Rp,,135000000.0
2212,SUZUKI,IGNIS,Suzuki Ignis,Ignis GX AGS AT,2019,1.2,-,135000000.0,0,Rp,,135000000.0
2213,TOYOTA,AGYA,Agya,New 1.2 G TRD A/T,2019,1.2,87,135000000.0,Automatic Transmission,Rp,,135000000.0
2214,SUZUKI,ERTIGA,Suzuki Ertiga,New Ertiga GL M/T,2016,1.4,-,136000000.0,Manual Transmission,Rp,,136000000.0
2215,TOYOTA,HILUX,Hilux Double Cabin,E,2011,3.0,163,137000000.0,0,Rp,,137000000.0
2216,TOYOTA,AVANZA,Avanza,G A/T,2014,1.3,96,138000000.0,Automatic Transmission,Rp,,138000000.0
2217,TOYOTA,AVANZA,Avanza,G M/T,2013,1.3,96,139000000.0,Manual Transmission,Rp,,139000000.0
2218,DAIHATSU,XENIA,Xenia,All New 1.3 R A/T Sport,2014,1.3,95,139000000.0,Automatic Transmission,Rp,,139000000.0
2219,BMW,X5,X5,4.4 A/T,2000,4.4,315,140000000.0,Automatic Transmission,Rp,,140000000.0
2220,MERCEDES-BENZ,E-CLASS,E-Class New Eyes - W210,240 V6 Avantgarde,2000,2.4,177,140000000.0,0,Rp,,140000000.0
2221,BMW,X5,X5,3.0 A/T,2001,3.0,225,140000000.0,Automatic Transmission,Rp,,140000000.0
2222,BMW,X5,X5,4.4 A/T,2001,4.4,315,140000000.0,Automatic Transmission,Rp,,140000000.0
2223,CHRYSLER,CHEROKEE,Cherokee,Grand,2001,4.7,305,140000000.0,0,Rp,,140000000.0
2224,MERCEDES-BENZ,E-CLASS,E-Class New Eyes - W210,320 V6 Elegance A/T5sp,2001,3.2,224,140000000.0,Automatic Transmission,Rp,,140000000.0
2225,MERCEDES-BENZ,M-CLASS,M-Class,ML 270 CDI M/T,2001,2.7,163,140000000.0,Manual Transmission,Rp,,140000000.0
2226,MERCEDES-BENZ,C-CLASS,New C-Class - W203,270 CDI A/T,2001,2.7,170,140000000.0,Automatic Transmission,Rp,,140000000.0
2227,JAGUAR,X-TYPE,X-Type,2.0 V6,2002,2.0,159,140000000.0,0,Rp,,140000000.0
2228,MERCEDES-BENZ,E-CLASS,E-Class New Eyes - W210,260 V6 Elegance,2002,2.6,221,140000000.0,0,Rp,,140000000.0
2229,MERCEDES-BENZ,M-CLASS,M-Class,ML 320 V6 A/T,2002,3.2,218,140000000.0,Automatic Transmission,Rp,,140000000.0
2230,JAGUAR,S-TYPE,S-Type,S 3.0 V6,2003,3.0,243,140000000.0,0,Rp,,140000000.0
2231,LAND ROVER,FREELANDER,Freelander,Turbo Diesel M/T,2003,2.5,149,140000000.0,Manual Transmission,Rp,,140000000.0
2232,LAND ROVER,FREELANDER,Freelander,V6 2.500 A/T,2003,2.5,174,140000000.0,Automatic Transmission,Rp,,140000000.0
2233,MERCEDES-BENZ,V-CLASS,V-Class,Vito 270 CDI,2003,2.7,189,140000000.0,0,Rp,,140000000.0
2234,VOLVO,XC 90,XC 90,2.5 T,2003,2.9,208,140000000.0,0,Rp,,140000000.0
2235,VOLVO,XC 90,XC 90,T6,2003,2.9,316,140000000.0,0,Rp,,140000000.0
2236,HONDA,ODYSSEY,Odyssey,2.4 L (ATPM),2004,2.4,175,140000000.0,0,Rp,,140000000.0
2237,HONDA,ODYSSEY,Odyssey,Absolute 2.4 (IU),2004,2.4,192,140000000.0,0,Rp,,140000000.0
2238,MERCEDES-BENZ,S-CLASS,S-Class,S 280,2004,2.8,204,140000000.0,0,Rp,,140000000.0
2239,MERCEDES-BENZ,V-CLASS,V-Class,Viano V230 Ambiente,2004,2.3,144,140000000.0,0,Rp,,140000000.0
2240,AUDI,A6,A6,3.0 Quattro Multitronic,2005,3.0,204,140000000.0,0,Rp,,140000000.0
2241,BMW,5,520i,E60 Tiptronic,2005,2.0,170,140000000.0,Tiptronic,Rp,,140000000.0
2242,BMW,5,530i,E60 Tiptronic,2005,3.0,271,140000000.0,Tiptronic,Rp,,140000000.0
2243,BMW,X3,X3,2.5 A/T,2005,2.5,184,140000000.0,Automatic Transmission,Rp,,140000000.0
2244,HONDA,ELYSION,Elysion,3.0,2005,3.0,200,140000000.0,0,Rp,,140000000.0
2245,TOYOTA,HARRIER,Harrier - New,3.0 L Air-S 4x2 A/T,2005,3.0,220,140000000.0,Automatic Transmission,Rp,,140000000.0
2246,TOYOTA,PREVIA,Previa,A/T,2005,2.4,170,140000000.0,Automatic Transmission,Rp,,140000000.0
2247,BMW,1,120i,A/T,2006,2.0,170,140000000.0,Automatic Transmission,Rp,,140000000.0
2248,HONDA,ELYSION,Elysion,2.4,2006,2.4,160,140000000.0,0,Rp,,140000000.0
2249,HONDA,ODYSSEY,Odyssey,2.4 M (ATPM),2006,2.4,175,140000000.0,0,Rp,,140000000.0
2250,MERCEDES-BENZ,C-CLASS,New C-Class - W203,240 Elegance A/T,2006,2.6,170,140000000.0,Automatic Transmission,Rp,,140000000.0
2251,MERCEDES-BENZ,C-CLASS,New C-Class - W203,240 Sport,2006,2.4,170,140000000.0,0,Rp,,140000000.0
2252,NISSAN,MURANO,Murano,2.5,2006,2.5,172,140000000.0,0,Rp,,140000000.0
2253,TOYOTA,KIJANG INNOVA,Kijang Innova - Diesel,V A/T,2006,2.5,102,140000000.0,Automatic Transmission,Rp,,140000000.0
2254,TOYOTA,RAV4,RAV4,2.4 A/T VVT-I,2006,2.4,170,140000000.0,Automatic Transmission,Rp,,140000000.0
2255,BMW,3,320i,E90 Tiptronic,2007,2.0,150,140000000.0,Tiptronic,Rp,,140000000.0
2256,BMW,5,523i,E60 Tiptronic,2007,2.5,189,140000000.0,Tiptronic,Rp,,140000000.0
2257,ISUZU,PANTHER,Panther - New,Grand Touring M/T,2007,2.5,80,140000000.0,Manual Transmission,Rp,,140000000.0
2258,MAZDA,CX -7,CX -7,2.3 R,2007,2.3,260,140000000.0,0,Rp,,140000000.0
2259,MAZDA,MAZDA6,Mazda6,2.5 A/T,2007,2.5,171,140000000.0,Automatic Transmission,Rp,,140000000.0
2260,MERCEDES-BENZ,E-CLASS,E-Class New model - W211,200 Kompresor,2007,1.8,184,140000000.0,0,Rp,,140000000.0
2261,NISSAN,FRONTIER,Frontier,Diesel 3.0,2007,3.0,109,140000000.0,0,Rp,,140000000.0
2262,TOYOTA,FORTUNER,Fortuner,G 4x2 A/T,2007,2.7,163,140000000.0,Automatic Transmission,Rp,,140000000.0
2263,TOYOTA,FORTUNER,Fortuner,G 4x2 M/T,2007,2.7,163,140000000.0,Manual Transmission,Rp,,140000000.0
2264,TOYOTA,FORTUNER,Fortuner,G Lux 4x2 M/T,2007,2.7,163,140000000.0,Manual Transmission,Rp,,140000000.0
2265,TOYOTA,KIJANG INNOVA,Kijang Innova - Diesel,G A/T,2007,2.5,102,140000000.0,Automatic Transmission,Rp,,140000000.0
2266,TOYOTA,KIJANG INNOVA,Kijang Innova - Diesel,G M/T,2007,2.5,102,140000000.0,Manual Transmission,Rp,,140000000.0
2267,TOYOTA,KIJANG INNOVA,Kijang Innova - Diesel,V M/T,2007,2.5,102,140000000.0,Manual Transmission,Rp,,140000000.0
2268,AUDI,A3,A3,2.0 FSI,2008,2.0,150,140000000.0,0,Rp,,140000000.0
2269,HYUNDAI,H1,H1,CRDi Elegance A/T,2008,2.4,173,140000000.0,Automatic Transmission,Rp,,140000000.0
2270,HYUNDAI,SANTA FE,Santa Fe,New 2.2 CRDi,2008,2.2,150,140000000.0,0,Rp,,140000000.0
2271,MERCEDES-BENZ,B-CLASS,B-Class,B 170,2008,1.7,116,140000000.0,0,Rp,,140000000.0
2272,TOYOTA,CAMRY,Camry,New G 2.4 A/T,2008,2.4,167,140000000.0,Automatic Transmission,Rp,,140000000.0
2273,HONDA,ACCORD,Accord,New 2.4 VTi-L A/T,2009,2.4,176,140000000.0,Automatic Transmission,Rp,,140000000.0
2274,HONDA,CITY,City,All New City RS A/T,2009,1.5,120,140000000.0,Automatic Transmission,Rp,,140000000.0
2275,HONDA,CIVIC,Civic,New 1.8 M/T,2009,1.8,131,140000000.0,Manual Transmission,Rp,,140000000.0
2276,HONDA,CIVIC,Civic,New 2.0 A/T,2009,2.0,140,140000000.0,Automatic Transmission,Rp,,140000000.0
2277,HONDA,FREED,Freed,Electric Sliding Door E,2009,1.5,118,140000000.0,0,Rp,,140000000.0
2278,HYUNDAI,H1,H1,CRDi M/T,2009,2.4,173,140000000.0,Manual Transmission,Rp,,140000000.0
2279,HYUNDAI,H1,H1,CRDi XG A/T,2009,2.4,170,140000000.0,Automatic Transmission,Rp,,140000000.0
2280,ISUZU,PANTHER,Panther - New,Adventure,2009,2.5,80,140000000.0,0,Rp,,140000000.0
2281,MAZDA,CX -7,CX -7,2.3 R,2009,2.3,260,140000000.0,0,Rp,,140000000.0
2282,MAZDA,MAZDA6,Mazda6,2.0 A/T,2009,2.0,143,140000000.0,Automatic Transmission,Rp,,140000000.0
2283,NISSAN,X-TRAIL,X-Trail,New Model 2.5 XT A/T,2009,2.5,171,140000000.0,Automatic Transmission,Rp,,140000000.0
2284,PEUGEOT,308,308,A/T,2009,1.6,156,140000000.0,Automatic Transmission,Rp,,140000000.0
2285,TOYOTA,KIJANG INNOVA,Kijang Innova - Bensin,V A/T Facelift,2009,2.0,136,140000000.0,Automatic Transmission,Rp,,140000000.0
2286,TOYOTA,KIJANG INNOVA,Kijang Innova - Bensin,V M/T Facelift,2009,2.0,136,140000000.0,Manual Transmission,Rp,,140000000.0
2287,TOYOTA,KIJANG INNOVA,Kijang Innova - Diesel,E M/T Facelift,2009,2.5,102,140000000.0,Manual Transmission,Rp,,140000000.0
2288,VOLKSWAGEN,TOURAN,Touran,TSI 1.4 A/T Highline,2009,1.4,150,140000000.0,Automatic Transmission,Rp,,140000000.0
2289,FORD,FOCUS,Focus,TDCi,2010,2.0,136,140000000.0,0,Rp,,140000000.0
2290,FORD,EVEREST,New Everest,TDCI M/T 4x4,2010,2.5,143,140000000.0,Manual Transmission,Rp,,140000000.0
2291,HONDA,CITY,City,All New City E M/T,2010,1.5,120,140000000.0,Manual Transmission,Rp,,140000000.0
2292,HONDA,CITY,City,All New City RS MT,2010,1.5,120,140000000.0,0,Rp,,140000000.0
2293,HONDA,FREED,Freed,Electric Sliding Door E,2010,1.5,118,140000000.0,0,Rp,,140000000.0
2294,NISSAN,MARCH,March,NISMO M/T,2010,1.2,116,140000000.0,Manual Transmission,Rp,,140000000.0
2295,NISSAN,X-TRAIL,X-Trail,New Model 2.0 ST A/T,2010,2.0,144,140000000.0,Automatic Transmission,Rp,,140000000.0
2296,NISSAN,X-TRAIL,X-Trail,New Model 2.0 ST M/T,2010,2.0,144,140000000.0,Manual Transmission,Rp,,140000000.0
2297,NISSAN,X-TRAIL,X-Trail,New Model 2.5 St,2010,2.5,171,140000000.0,0,Rp,,140000000.0
2298,SUBARU,FORESTER,Forester,2.0 XT A/T,2010,2.0,240,140000000.0,Automatic Transmission,Rp,,140000000.0
2299,TOYOTA,COROLLA ALTIS,Corolla Altis,New Altis V 2.0 A/T,2010,2.0,145,140000000.0,Automatic Transmission,Rp,,140000000.0
2300,TOYOTA,COROLLA ALTIS,Corolla Altis,New Altis V A/T,2010,1.8,149,140000000.0,Automatic Transmission,Rp,,140000000.0
2301,TOYOTA,KIJANG INNOVA,Kijang Innova - Bensin,G A/T Facelift,2010,2.0,136,140000000.0,Automatic Transmission,Rp,,140000000.0
2302,TOYOTA,KIJANG INNOVA,Kijang Innova - Bensin,G M/T Facelift,2010,2.0,136,140000000.0,Manual Transmission,Rp,,140000000.0
2303,TOYOTA,KIJANG INNOVA,Kijang Innova - Bensin,V Luxury A/T,2010,2.0,136,140000000.0,Automatic Transmission,Rp,,140000000.0
2304,CHEVROLET,CAPTIVA,Captiva,Petrol A/T Facelift,2011,2.4,147,140000000.0,Automatic Transmission,Rp,,140000000.0
2305,HONDA,FREED,Freed,Manual Sliding Door S,2011,1.5,118,140000000.0,0,Rp,,140000000.0
2306,HYUNDAI,H1,H1,XG Petrol,2011,2.4,175,140000000.0,0,Rp,,140000000.0
2307,ISUZU,PANTHER,Panther - New,LV Turbo,2011,2.5,80,140000000.0,0,Rp,,140000000.0
2308,KIA,SPORTAGE III,Sportage III,SE A/T,2011,2.0,176,140000000.0,Automatic Transmission,Rp,,140000000.0
2309,NISSAN,X-TRAIL,X-Trail,New Model 2.5 St,2011,2.5,171,140000000.0,0,Rp,,140000000.0
2310,PEUGEOT,3008,3008,Tiptronic,2011,1.4,164,140000000.0,Tiptronic,Rp,,140000000.0
2311,VOLKSWAGEN,TOURAN,Touran,TSI 1.4 A/T,2011,1.4,150,140000000.0,Automatic Transmission,Rp,,140000000.0
2312,CHEVROLET,COLORADO,Colorado,LM Extra Cab,2012,2.5,198,140000000.0,0,Rp,,140000000.0
2313,CHEVROLET,COLORADO,Colorado,LT M/T,2012,2.5,183,140000000.0,Manual Transmission,Rp,,140000000.0
2314,FORD,FOCUS,Focus,All New Hatchback 1.6,2012,1.6,100,140000000.0,0,Rp,,140000000.0
2315,FORD,FOCUS,Focus,All New Sedan 1.6,2012,1.6,124,140000000.0,0,Rp,,140000000.0
2316,HONDA,CITY,City,All New City E A/T,2012,1.5,120,140000000.0,Automatic Transmission,Rp,,140000000.0
2317,HYUNDAI,H1,H1,Petrol Elegance A/T,2012,2.4,175,140000000.0,Automatic Transmission,Rp,,140000000.0
2318,KIA,SPORTAGE III,Sportage III,SE M/T,2012,2.0,176,140000000.0,Manual Transmission,Rp,,140000000.0
2319,MAZDA,BT-50,B 2500/BT 50,BT 50 M/T Single Cab,2012,2.5,199,140000000.0,Manual Transmission,Rp,,140000000.0
2320,MITSUBISHI,GRANDIS,Grandis,2.4 GLS Mivec A/T,2012,2.4,165,140000000.0,Automatic Transmission,Rp,,140000000.0
2321,MITSUBISHI,GRANDIS,Grandis,2.4 GT A/T,2012,2.4,165,140000000.0,Automatic Transmission,Rp,,140000000.0
2322,NISSAN,JUKE,Juke,CVT A/T,2012,1.5,109,140000000.0,Automatic Transmission,Rp,,140000000.0
2323,NISSAN,SERENA,Serena - C 24,HWS Autech,2012,2.0,145,140000000.0,0,Rp,,140000000.0
2324,TOYOTA,COROLLA ALTIS,Corolla Altis,New Altis G A/T,2012,1.8,149,140000000.0,Automatic Transmission,Rp,,140000000.0
2325,TOYOTA,KIJANG INNOVA,Kijang Innova - Bensin,E M/T Grand New,2012,2.0,136,140000000.0,Manual Transmission,Rp,,140000000.0
2326,TOYOTA,YARIS,Yaris,S A/T Facelift,2012,1.5,107,140000000.0,Automatic Transmission,Rp,,140000000.0
2327,TOYOTA,YARIS,Yaris,S M/T Facelift,2012,1.5,107,140000000.0,Manual Transmission,Rp,,140000000.0
2328,TOYOTA,YARIS,Yaris,TRD Sportivo A/T,2012,1.5,107,140000000.0,Automatic Transmission,Rp,,140000000.0
2329,TOYOTA,YARIS,Yaris,TRD Sportivo M/T,2012,1.5,107,140000000.0,Manual Transmission,Rp,,140000000.0
2330,HONDA,FREED,Freed,Facelift,2013,1.5,118,140000000.0,0,Rp,,140000000.0
2331,HONDA,JAZZ,Jazz - New,S A/T Facelift,2013,1.5,119,140000000.0,Automatic Transmission,Rp,,140000000.0
2332,HONDA,JAZZ,Jazz - New,S M/T Facelift,2013,1.5,119,140000000.0,Manual Transmission,Rp,,140000000.0
2333,KIA,SPORTAGE III,Sportage III,SE A/T,2013,2.0,176,140000000.0,Automatic Transmission,Rp,,140000000.0
2334,MAZDA,BT-50,B 2500/BT 50,All New BT 50 M/T Freestyle Cabin,2013,2.5,199,140000000.0,Manual Transmission,Rp,,140000000.0
2335,NISSAN,GRAND LIVINA,Grand Livina,All New 1.5 HWS,2013,1.5,109,140000000.0,0,Rp,,140000000.0
